Feature,Importance
ISI,0.3951083109309829
FWI,0.1579828768712205
FFMC,0.14315163192068814
BUI,0.11290941791826006
Wind_Rain_Ratio,0.06125631210945112
DMC,0.046246050612524764
DC,0.04251637535203779
Rain,0.02656502970520608
Fire_Weather_Index,0.007283171338440753
RH,0.004394461805116201
Temperature,0.002374550411637356
Ws,0.0002118110244343771
